wavenumber,u_stat,p_value,q_value,auc,n_high,n_low,significant,sample_type
1375.006008396852,4405.0,0.000212,0.00046,0.6688,74,89,True,PLASMA
1373.077528721681,4483.0,7.3e-05,0.000168,0.6807,74,89,True,PLASMA
1371.14904904651,4550.0,2.8e-05,6.8e-05,0.6909,74,89,True,PLASMA
1369.220569371339,4574.0,2e-05,4.9e-05,0.6945,74,89,True,PLASMA
1367.292089696168,4626.0,9e-06,2.4e-05,0.7024,74,89,True,PLASMA
1365.363610020997,4664.0,5e-06,1.4e-05,0.7082,74,89,True,PLASMA
1363.435130345826,4674.0,4e-06,1.2e-05,0.7097,74,89,True,PLASMA
1361.506650670656,4697.0,3e-06,9e-06,0.7132,74,89,True,PLASMA
1359.578170995484,4709.0,2e-06,8e-06,0.715,74,89,True,PLASMA
1357.649691320314,4705.0,3e-06,8e-06,0.7144,74,89,True,PLASMA
1355.721211645143,4697.0,3e-06,9e-06,0.7132,74,89,True,PLASMA
1353.792731969972,4695.0,3e-06,9e-06,0.7129,74,89,True,PLASMA
1351.864252294801,4686.0,3e-06,1e-05,0.7115,74,89,True,PLASMA
1349.93577261963,4684.0,4e-06,1.1e-05,0.7112,74,89,True,PLASMA
1348.007292944459,4674.0,4e-06,1.2e-05,0.7097,74,89,True,PLASMA
1346.078813269288,4693.0,3e-06,9e-06,0.7126,74,89,True,PLASMA
1344.150333594117,4718.0,2e-06,7e-06,0.7164,74,89,True,PLASMA
1342.221853918946,4760.0,1e-06,4e-06,0.7227,74,89,True,PLASMA
1340.293374243775,4765.0,1e-06,4e-06,0.7235,74,89,True,PLASMA
1338.364894568605,4785.0,1e-06,3e-06,0.7265,74,89,True,PLASMA
1336.436414893434,4777.0,1e-06,3e-06,0.7253,74,89,True,PLASMA
1334.507935218263,4751.0,1e-06,4e-06,0.7214,74,89,True,PLASMA
1332.579455543092,4707.0,2e-06,8e-06,0.7147,74,89,True,PLASMA
1330.650975867921,4660.0,5e-06,1.4e-05,0.7076,74,89,True,PLASMA
1328.72249619275,4581.0,1.8e-05,4.4e-05,0.6956,74,89,True,PLASMA
1326.794016517579,4529.0,3.8e-05,9.2e-05,0.6877,74,89,True,PLASMA
1324.865536842408,4502.0,5.6e-05,0.000131,0.6836,74,89,True,PLASMA
1322.937057167237,4467.0,9.2e-05,0.000207,0.6783,74,89,True,PLASMA
1321.008577492067,4484.0,7.2e-05,0.000166,0.6808,74,89,True,PLASMA
1319.080097816896,4523.0,4.2e-05,9.9e-05,0.6868,74,89,True,PLASMA
1317.151618141725,4576.0,1.9e-05,4.8e-05,0.6948,74,89,True,PLASMA
1315.223138466554,4647.0,6e-06,1.7e-05,0.7056,74,89,True,PLASMA
1313.294658791383,4699.0,3e-06,9e-06,0.7135,74,89,True,PLASMA
1311.366179116212,4734.0,2e-06,5e-06,0.7188,74,89,True,PLASMA
1309.437699441041,4753.0,1e-06,4e-06,0.7217,74,89,True,PLASMA
1307.50921976587,4788.0,1e-06,3e-06,0.727,74,89,True,PLASMA
1305.580740090699,4812.0,0.0,2e-06,0.7306,74,89,True,PLASMA
1303.652260415528,4842.0,0.0,1e-06,0.7352,74,89,True,PLASMA
1301.723780740358,4894.0,0.0,0.0,0.7431,74,89,True,PLASMA
1299.795301065187,4931.0,0.0,0.0,0.7487,74,89,True,PLASMA
1297.866821390016,4989.0,0.0,0.0,0.7575,74,89,True,PLASMA
1295.938341714845,5033.0,0.0,0.0,0.7642,74,89,True,PLASMA
1294.009862039674,5063.0,0.0,0.0,0.7688,74,89,True,PLASMA
1292.081382364503,5086.0,0.0,0.0,0.7722,74,89,True,PLASMA
1290.152902689332,5113.0,0.0,0.0,0.7763,74,89,True,PLASMA
1288.224423014161,5132.0,0.0,0.0,0.7792,74,89,True,PLASMA
